season,round,constructor,constructor_points,constructor_wins,constructor_standings_pos
2003,1,mclaren,16,1,1
2003,1,williams,9,0,2
2003,1,renault,6,0,3
2003,1,ferrari,5,0,4
2003,1,sauber,3,0,5
2003,1,bar,0,0,6
2003,1,minardi,0,0,7
2003,2,mclaren,26,2,1
2003,2,ferrari,16,0,2
2003,2,renault,16,0,3
2003,2,williams,14,0,4
2003,2,sauber,4,0,5
2003,2,bar,2,0,6
2003,2,jordan,0,0,7
2003,2,minardi,0,0,8
2003,2,toyota,0,0,9
2003,3,mclaren,39,2,1
2003,3,renault,23,0,2
2003,3,ferrari,16,0,3
2003,3,williams,16,0,4
2003,3,jordan,10,1,5
2003,3,sauber,8,0,6
2003,3,bar,5,0,7
2003,3,jaguar,0,0,8
2003,3,toyota,0,0,9
2003,3,minardi,0,0,10
2003,4,mclaren,51,2,1
2003,4,ferrari,32,1,2
2003,4,renault,26,0,3
2003,4,williams,23,0,4
2003,4,jordan,10,1,5
2003,4,sauber,8,0,6
2003,4,bar,6,0,7
2003,4,toyota,0,0,8
2003,4,jaguar,0,0,9
2003,4,minardi,0,0,10
2003,5,mclaren,51,2,1
2003,5,ferrari,48,2,2
2003,5,renault,34,0,3
2003,5,williams,32,0,4
2003,5,jordan,11,1,5
2003,5,sauber,8,0,6
2003,5,bar,6,0,7
2003,5,toyota,3,0,8
2003,5,jaguar,2,0,9
2003,5,minardi,0,0,10
2003,6,ferrari,64,3,1
2003,6,mclaren,63,2,2
2003,6,renault,35,0,3
2003,6,williams,35,0,4
2003,6,jordan,11,1,5
2003,6,bar,11,0,6
2003,6,sauber,8,0,7
2003,6,jaguar,4,0,8
2003,6,toyota,3,0,9
2003,6,minardi,0,0,10
2003,7,mclaren,73,2,1
2003,7,ferrari,71,3,2
2003,7,williams,50,1,3
2003,7,renault,42,0,4
2003,7,jordan,11,1,5
2003,7,bar,11,0,6
2003,7,sauber,8,0,7
2003,7,jaguar,4,0,8
2003,7,toyota,3,0,9
2003,7,minardi,0,0,10
2003,8,ferrari,85,4,1
2003,8,mclaren,76,2,2
2003,8,williams,64,1,3
2003,8,renault,47,0,4
2003,8,jordan,11,1,5
2003,8,bar,11,0,6
