season,round,driver,driver_points,driver_wins,driver_standings_pos
2003,1,coulthard,10,1,1
2003,1,montoya,8,0,2
2003,1,raikkonen,6,0,3
2003,1,michael_schumacher,5,0,4
2003,1,trulli,4,0,5
2003,1,frentzen,3,0,6
2003,1,alonso,2,0,7
2003,1,ralf_schumacher,1,0,8
2003,1,villeneuve,0,0,9
2003,1,button,0,0,10
2003,1,verstappen,0,0,11
2003,2,raikkonen,16,1,1
2003,2,coulthard,10,1,2
2003,2,montoya,8,0,3
2003,2,barrichello,8,0,4
2003,2,alonso,8,0,5
2003,2,michael_schumacher,8,0,6
2003,2,trulli,8,0,7
2003,2,ralf_schumacher,6,0,8
2003,2,frentzen,3,0,9
2003,2,button,2,0,10
2003,2,heidfeld,1,0,11
2003,2,villeneuve,0,0,12
2003,2,firman,0,0,13
2003,2,verstappen,0,0,14
2003,2,matta,0,0,15
2003,3,raikkonen,24,1,1
2003,3,coulthard,15,1,2
2003,3,alonso,14,0,3
2003,3,fisichella,10,1,4
2003,3,trulli,9,0,5
2003,3,montoya,8,0,6
2003,3,barrichello,8,0,7
2003,3,michael_schumacher,8,0,8
2003,3,ralf_schumacher,8,0,9
2003,3,frentzen,7,0,10
2003,3,villeneuve,3,0,11
2003,3,button,2,0,12
2003,3,heidfeld,1,0,13
2003,3,webber,0,0,14
2003,3,matta,0,0,15
2003,3,firman,0,0,16
2003,3,verstappen,0,0,17
2003,4,raikkonen,32,1,1
2003,4,coulthard,19,1,2
2003,4,michael_schumacher,18,1,3
2003,4,alonso,17,0,4
2003,4,barrichello,14,0,5
2003,4,ralf_schumacher,13,0,6
2003,4,fisichella,10,1,7
2003,4,montoya,10,0,8
2003,4,trulli,9,0,9
2003,4,frentzen,7,0,10
2003,4,villeneuve,3,0,11
2003,4,button,3,0,12
2003,4,heidfeld,1,0,13
2003,4,panis,0,0,14
2003,4,webber,0,0,15
2003,4,matta,0,0,16
2003,4,firman,0,0,17
2003,4,verstappen,0,0,18
2003,4,pizzonia,0,0,19
2003,5,raikkonen,32,1,1
2003,5,michael_schumacher,28,2,2
2003,5,alonso,25,0,3
2003,5,barrichello,20,0,4
2003,5,coulthard,19,1,5
2003,5,ralf_schumacher,17,0,6
2003,5,montoya,15,0,7
2003,5,fisichella,10,1,8
2003,5,trulli,9,0,9
2003,5,frentzen,7,0,10
2003,5,villeneuve,3,0,11
2003,5,matta,3,0,12
2003,5,button,3,0,13
2003,5,webber,2,0,14
