driver,car,qualifying_time,season,round
michael_schumacher,Ferrari,1:27.173,2003,1
barrichello,Ferrari,1:27.418,2003,1
montoya,Williams,1:28.101,2003,1
frentzen,Sauber,1:28.274,2003,1
panis,Toyota,1:28.288,2003,1
villeneuve,BAR,1:28.420,2003,1
heidfeld,Sauber,1:28.464,2003,1
button,BAR,1:28.682,2003,1
ralf_schumacher,Williams,1:28.830,2003,1
alonso,Renault,1:28.928,2003,1
coulthard,McLaren,1:29.105,2003,1
trulli,Renault,1:29.136,2003,1
fisichella,Jordan,1:29.344,2003,1
webber,Jaguar,1:29.367,2003,1
raikkonen,McLaren,1:29.470,2003,1
matta,Toyota,1:29.538,2003,1
firman,Jordan,1:31.242,2003,1
pizzonia,Jaguar,1:31.723,2003,1
wilson,Minardi,00.000,2003,1
verstappen,Minardi,00.000,2003,1
alonso,Renault,1:37.044,2003,2
trulli,Renault,1:37.217,2003,2
michael_schumacher,Ferrari,1:37.393,2003,2
coulthard,McLaren,1:37.454,2003,2
barrichello,Ferrari,1:37.579,2003,2
heidfeld,Sauber,1:37.766,2003,2
raikkonen,McLaren,1:37.858,2003,2
montoya,Williams,1:37.974,2003,2
button,BAR,1:38.073,2003,2
panis,Toyota,1:38.094,2003,2
matta,Toyota,1:38.097,2003,2
villeneuve,BAR,1:38.289,2003,2
frentzen,Sauber,1:38.291,2003,2
fisichella,Jordan,1:38.416,2003,2
pizzonia,Jaguar,1:38.516,2003,2
webber,Jaguar,1:38.624,2003,2
ralf_schumacher,Williams,1:38.789,2003,2
verstappen,Minardi,1:40.417,2003,2
wilson,Minardi,1:40.599,2003,2
firman,Jordan,1:40.910,2003,2
barrichello,Ferrari,1:13.807,2003,3
coulthard,McLaren,1:13.818,2003,3
webber,Jaguar,1:13.851,2003,3
raikkonen,McLaren,1:13.866,2003,3
trulli,Renault,1:13.953,2003,3
ralf_schumacher,Williams,1:14.124,2003,3
michael_schumacher,Ferrari,1:14.130,2003,3
fisichella,Jordan,1:14.191,2003,3
montoya,Williams,1:14.223,2003,3
alonso,Renault,1:14.384,2003,3
button,BAR,1:14.504,2003,3
heidfeld,Sauber,1:14.631,2003,3
villeneuve,BAR,1:14.668,2003,3
frentzen,Sauber,1:14.839,2003,3
panis,Toyota,1:14.839,2003,3
firman,Jordan,1:15.240,2003,3
pizzonia,Jaguar,1:15.317,2003,3
matta,Toyota,1:15.641,2003,3
verstappen,Minardi,1:16.542,2003,3
wilson,Minardi,1:16.586,2003,3
michael_schumacher,Ferrari,1:22.327,2003,4
ralf_schumacher,Williams,1:22.341,2003,4
barrichello,Ferrari,1:22.557,2003,4
montoya,Williams,1:22.789,2003,4
webber,Jaguar,1:23.015,2003,4
raikkonen,McLaren,1:23.148,2003,4
villeneuve,BAR,1:23.160,2003,4
alonso,Renault,1:23.169,2003,4
button,BAR,1:23.381,2003,4
panis,Toyota,1:23.460,2003,4
heidfeld,Sauber,1:23.700,2003,4
coulthard,McLaren,1:23.818,2003,4
matta,Toyota,1:23.838,2003,4
frentzen,Sauber,1:23.932,2003,4
pizzonia,Jaguar,1:24.147,2003,4
trulli,Renault,1:24.190,2003,4
fisichella,Jordan,1:24.317,2003,4
wilson,Minardi,1:25.826,2003,4
firman,Jordan,1:26.357,2003,4
verstappen,Minardi,00.000,2003,4
michael_schumacher,Ferrari,1:17.762,2003,5
barrichello,Ferrari,1:18.020,2003,5
alonso,Renault,1:18.233,2003,5
trulli,Renault,1:18.615,2003,5
button,BAR,1:18.704,2003,5
panis,Toyota,1:18.811,2003,5
ralf_schumacher,Williams,1:19.006,2003,5
coulthard,McLaren,1:19.128,2003,5
montoya,Williams,1:19.377,2003,5
frentzen,Sauber,1:19.427,2003,5
villeneuve,BAR,1:19.563,2003,5
webber,Jaguar,1:19.615,2003,5
matta,Toyota,1:19.623,2003,5
heidfeld,Sauber,1:19.646,2003,5
firman,Jordan,1:20.215,2003,5
pizzonia,Jaguar,1:20.308,2003,5
fisichella,Jordan,1:20.976,2003,5
wilson,Minardi,1:22.104,2003,5
verstappen,Minardi,1:22.237,2003,5
raikkonen,McLaren,00.000,2003,5
michael_schumacher,Ferrari,1:09.150,2003,6
raikkonen,McLaren,1:09.189,2003,6
montoya,Williams,1:09.391,2003,6
heidfeld,Sauber,1:09.725,2003,6
barrichello,Ferrari,1:09.784,2003,6
trulli,Renault,1:09.890,2003,6
button,BAR,1:09.935,2003,6
pizzonia,Jaguar,1:10.045,2003,6
fisichella,Jordan,1:10.105,2003,6
ralf_schumacher,Williams,1:10.279,2003,6
panis,Toyota,1:10.402,2003,6
villeneuve,BAR,1:10.618,2003,6
matta,Toyota,1:10.834,2003,6
coulthard,McLaren,1:10.893,2003,6
frentzen,Sauber,1:11.307,2003,6
firman,Jordan,1:11.505,2003,6
webber,Jaguar,1:11.662,2003,6
wilson,Minardi,1:14.508,2003,6
alonso,Renault,1:20.113,2003,6
verstappen,Minardi,00.000,2003,6
ralf_schumacher,Williams,1:15.259,2003,7
raikkonen,McLaren,1:15.295,2003,7
montoya,Williams,1:15.415,2003,7
trulli,Renault,1:15.500,2003,7
michael_schumacher,Ferrari,1:15.644,2003,7
